trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
248,False,"{'a': 0.35, 'e': 0.15599999999999936}",20,8,9.528694196600215,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
249,False,"{'a': 0.35, 'e': 0.15299999999999936}",25,18,15.163980073985961,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.35, 'e': 0.14999999999999936}",20,8,9.796232114758448,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.35, 'e': 0.14699999999999935}",30,10,22.944550117604027,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
252,False,"{'a': 0.35, 'e': 0.14399999999999935}",20,16,10.109567710536883,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.35, 'e': 0.14099999999999935}",20,9,6.78457391180577,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
254,False,"{'a': 0.35, 'e': 0.13799999999999935}",20,7,-16.38663271351838,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
255,False,"{'a': 0.35, 'e': 0.13499999999999934}",35,28,15.505743490762752,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.35, 'e': 0.13199999999999934}",30,17,10.623921676600283,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
257,False,"{'a': 0.35, 'e': 0.12899999999999934}",30,17,24.718170674270297,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.35, 'e': 0.12599999999999933}",25,14,17.139069037792495,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.35, 'e': 0.12299999999999933}",20,1,15.785504172053905,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
260,False,"{'a': 0.35, 'e': 0.11999999999999933}",20,7,16.130890232105916,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.35, 'e': 0.11699999999999933}",20,7,10.126181474276274,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
262,False,"{'a': 0.35, 'e': 0.11399999999999932}",20,16,6.690850683898671,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.35, 'e': 0.11099999999999932}",25,14,22.325834034005272,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.35, 'e': 0.10799999999999932}",25,11,8.525554593845854,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.35, 'e': 0.10499999999999932}",20,13,1.4795597072219868,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
266,False,"{'a': 0.35, 'e': 0.10199999999999931}",20,13,10.443474462614907,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.35, 'e': 0.09899999999999931}",20,0,-59.38102998022157,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
268,False,"{'a': 0.35, 'e': 0.09599999999999931}",20,14,11.109293848347399,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.35, 'e': 0.0929999999999993}",20,3,17.19816437799125,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.35, 'e': 0.0899999999999993}",20,11,8.300706661746865,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
271,False,"{'a': 0.35, 'e': 0.0869999999999993}",20,14,14.479002636967081,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.35, 'e': 0.0839999999999993}",20,6,-28.678461978653488,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
273,False,"{'a': 0.35, 'e': 0.0809999999999993}",20,12,13.770311909666164,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.35, 'e': 0.07799999999999929}",30,20,22.073750953840992,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.35, 'e': 0.07499999999999929}",25,14,8.305959317355128,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
276,False,"{'a': 0.35, 'e': 0.07199999999999929}",25,15,14.924065635201295,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.35, 'e': 0.06899999999999928}",20,6,14.396317724304144,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
